model,scenario,n_steps,mean_crps,mean_rel_crps,cov_90,cov_90_err,cov_50,mean_width_90,mean_rel_width_90,mean_mae,mean_rel_mae,pit_ks_stat,pit_ks_pvalue
random_walk,market_rolling,600,1517.5962422099506,5.256504752079785,0.6183333333333333,0.28166666666666673,0.31333333333333335,3285.111551543018,15.722949583905622,1813.2574585905058,6.962585769652901,0.1783331165463996,3.646622491652633e-17
random_walk,market_snap,20,8.930578032357948,2.7009641713234385,1.0,0.09999999999999998,0.3,43.16999306039949,13.15419741776592,14.010506078230827,4.2360662927862505,0.5600009994056933,1.9393543019683803e-06
random_walk,synth_GARCH_L1,400,2.000645312578159,2.017396541031082,0.8075,0.09250000000000003,0.4425,9.751807074084299,10.047558949188097,2.818828985521767,2.8465543872228447,0.10249936908792417,0.0004116544420514446
random_walk,synth_GARCH_L2,400,2.0144273378454534,2.1084941726068487,0.815,0.08500000000000008,0.485,9.717356119039296,10.22093108343601,2.7623217551914614,2.8888928546028763,0.08249966169409102,0.008130447360308024
random_walk,synth_GARCH_L3,400,2.0536898448967533,2.0309168818322867,0.8325,0.0675,0.5025,9.78221034068346,10.319582693866204,2.737864962109465,2.7092457681914084,0.12499937241496117,6.608132688324154e-06
random_walk,synth_GARCH_L4,400,1.9784218985174151,1.9517714367868169,0.8475,0.05249999999999999,0.55,9.637608043714641,10.222188201047064,2.577992615029665,2.5464045019109225,0.10249920134126012,0.0004116658603741429
random_walk,synth_GARCH_L5,400,1.7508097594164533,1.6492482898883776,0.8875,0.012500000000000067,0.4725,10.670527419002713,9.957077553972047,2.523386688589402,2.3552204621395334,0.08999995764061008,0.0028653023957706126
random_walk,synth_REGIME_L1,400,2.498157839219341,3.6426904590290574,0.9425,0.04249999999999998,0.7575,18.584952581813035,29.10832195154795,3.0774821019305216,4.374579137522897,0.16999907077696647,1.4150460409348705e-10
random_walk,synth_REGIME_L2,400,3.046618721081161,4.8234450129691915,0.8475,0.05249999999999999,0.665,18.17835157203107,30.925812689798477,3.907394065534977,6.054830180898641,0.1599991058909738,2.0597087181630277e-09
random_walk,synth_REGIME_L3,400,2.213698025637798,3.498128140233805,0.9825,0.08250000000000002,0.685,17.61349433655036,27.998263606977115,2.975366389150744,4.702987349687101,0.1449991539962635,8.3873241887075e-08
random_walk,synth_REGIME_L4,400,2.5139682972542157,4.394251952618904,0.9575,0.057499999999999996,0.5725,17.35188395785641,31.050609359142165,3.4804789725544065,6.150225695800473,0.06749961498341284,0.049859538104838674
random_walk,synth_REGIME_L5,400,3.335331440793837,4.486862798538992,0.89,0.010000000000000009,0.6175,18.899575010396163,32.29136493276651,4.460445640807169,5.695245690812642,0.21499953315279755,1.0416958912501359e-16
random_walk,synth_TAIL_L1,400,1.9765563632769823,1.805358435676805,0.8825,0.01750000000000007,0.54,10.29497982061991,10.05773450292608,2.6592428031160034,2.438738905046335,0.10499958798962172,0.00027088570215710693
random_walk,synth_TAIL_L2,400,1.5404065555446604,1.5876485858787956,0.925,0.025000000000000022,0.5575,9.776102437945957,10.165127363810532,2.159519475015512,2.2330921517212254,0.05999918277033728,0.1077797882609478
random_walk,synth_TAIL_L3,400,1.901070468743082,1.9399121899538754,0.85,0.050000000000000044,0.3925,9.510959681605009,9.959571420584718,2.7238272146665805,2.764424528272375,0.07999938607486623,0.011280817867097155
random_walk,synth_TAIL_L4,400,1.4949950765777482,1.3781222061274336,0.93,0.030000000000000027,0.6275,10.074048851099228,9.690918801886124,2.0745861580518477,1.8912314043934666,0.08999906322824014,0.0028656743070783535
random_walk,synth_TAIL_L5,400,2.3819445972555795,2.25985172962191,0.865,0.03500000000000003,0.565,9.582980484830948,10.267257836523392,2.949551464166999,2.7403051725070315,0.08749904223828098,0.004098140936490036
